[ Valid | 001/300 ] loss = 2.38184, acc = 0.29759 -> best
[ Valid | 002/300 ] loss = 2.54761, acc = 0.25296
[ Valid | 003/300 ] loss = 2.17715, acc = 0.31618 -> best
[ Valid | 004/300 ] loss = 1.95581, acc = 0.38447 -> best
[ Valid | 005/300 ] loss = 2.34674, acc = 0.34532
[ Valid | 006/300 ] loss = 1.95135, acc = 0.39409 -> best
[ Valid | 007/300 ] loss = 1.88255, acc = 0.42866 -> best
[ Valid | 008/300 ] loss = 1.90135, acc = 0.41634
[ Valid | 009/300 ] loss = 2.55358, acc = 0.32370
[ Valid | 010/300 ] loss = 1.54060, acc = 0.49251 -> best
[ Valid | 011/300 ] loss = 1.52545, acc = 0.51765 -> best
[ Valid | 012/300 ] loss = 1.38946, acc = 0.54033 -> best
[ Valid | 013/300 ] loss = 1.38869, acc = 0.54575 -> best
[ Valid | 014/300 ] loss = 1.35751, acc = 0.55054 -> best
[ Valid | 015/300 ] loss = 1.31930, acc = 0.55954 -> best
[ Valid | 016/300 ] loss = 1.24276, acc = 0.57728 -> best
[ Valid | 017/300 ] loss = 1.21318, acc = 0.59111 -> best
[ Valid | 018/300 ] loss = 1.13613, acc = 0.61711 -> best
[ Valid | 019/300 ] loss = 1.13607, acc = 0.61620
[ Valid | 020/300 ] loss = 1.12829, acc = 0.61706
[ Valid | 021/300 ] loss = 2.18668, acc = 0.39528
[ Valid | 022/300 ] loss = 1.56375, acc = 0.50805
[ Valid | 023/300 ] loss = 1.58876, acc = 0.49997
[ Valid | 024/300 ] loss = 1.45750, acc = 0.53073
[ Valid | 025/300 ] loss = 1.34163, acc = 0.55867
[ Valid | 026/300 ] loss = 1.32715, acc = 0.57004
[ Valid | 027/300 ] loss = 1.28564, acc = 0.57544
[ Valid | 028/300 ] loss = 1.25073, acc = 0.57617
[ Valid | 029/300 ] loss = 1.15375, acc = 0.61529
[ Valid | 030/300 ] loss = 1.11428, acc = 0.61997 -> best
[ Valid | 031/300 ] loss = 1.37013, acc = 0.55928
[ Valid | 032/300 ] loss = 1.12205, acc = 0.60672
[ Valid | 033/300 ] loss = 1.02615, acc = 0.64375 -> best
[ Valid | 034/300 ] loss = 1.19437, acc = 0.60764
[ Valid | 035/300 ] loss = 0.98144, acc = 0.65461 -> best
[ Valid | 036/300 ] loss = 0.94159, acc = 0.66278 -> best
[ Valid | 037/300 ] loss = 0.93163, acc = 0.67236 -> best
[ Valid | 038/300 ] loss = 0.90197, acc = 0.67505 -> best
[ Valid | 039/300 ] loss = 0.89117, acc = 0.67995 -> best
[ Valid | 040/300 ] loss = 0.89255, acc = 0.67901
[ Valid | 041/300 ] loss = 1.77698, acc = 0.48260
[ Valid | 042/300 ] loss = 1.57226, acc = 0.52286
[ Valid | 043/300 ] loss = 3.96744, acc = 0.25965
[ Valid | 044/300 ] loss = 1.42067, acc = 0.54841
[ Valid | 045/300 ] loss = 1.12375, acc = 0.62576
[ Valid | 046/300 ] loss = 1.25372, acc = 0.58658
[ Valid | 047/300 ] loss = 1.19959, acc = 0.59444
[ Valid | 048/300 ] loss = 1.09388, acc = 0.63143
[ Valid | 049/300 ] loss = 1.03577, acc = 0.63486
[ Valid | 050/300 ] loss = 0.96975, acc = 0.66813
[ Valid | 051/300 ] loss = 1.04112, acc = 0.63390
[ Valid | 052/300 ] loss = 0.87417, acc = 0.68749 -> best
[ Valid | 053/300 ] loss = 0.91578, acc = 0.67419
[ Valid | 054/300 ] loss = 0.84916, acc = 0.69833 -> best
[ Valid | 055/300 ] loss = 0.84932, acc = 0.69128
[ Valid | 056/300 ] loss = 0.81575, acc = 0.70250 -> best
[ Valid | 057/300 ] loss = 0.83497, acc = 0.69952
[ Valid | 058/300 ] loss = 0.79532, acc = 0.71181 -> best
[ Valid | 059/300 ] loss = 0.78812, acc = 0.71509 -> best
[ Valid | 060/300 ] loss = 0.78974, acc = 0.71509
[ Valid | 061/300 ] loss = 1.33330, acc = 0.55992
[ Valid | 062/300 ] loss = 1.28285, acc = 0.58458
[ Valid | 063/300 ] loss = 1.13455, acc = 0.61214
[ Valid | 064/300 ] loss = 0.98738, acc = 0.65341
[ Valid | 065/300 ] loss = 1.05135, acc = 0.64775
[ Valid | 066/300 ] loss = 0.99834, acc = 0.64709
[ Valid | 067/300 ] loss = 1.09439, acc = 0.64106
[ Valid | 068/300 ] loss = 0.95051, acc = 0.66739
[ Valid | 069/300 ] loss = 0.93846, acc = 0.67868
[ Valid | 070/300 ] loss = 0.87352, acc = 0.69252
[ Valid | 071/300 ] loss = 0.99191, acc = 0.66965
[ Valid | 072/300 ] loss = 0.81700, acc = 0.70665
[ Valid | 073/300 ] loss = 0.84712, acc = 0.70164
[ Valid | 074/300 ] loss = 0.78950, acc = 0.71571 -> best
[ Valid | 075/300 ] loss = 0.79843, acc = 0.72381 -> best
[ Valid | 076/300 ] loss = 0.77281, acc = 0.72138
[ Valid | 077/300 ] loss = 0.74915, acc = 0.73313 -> best
[ Valid | 078/300 ] loss = 0.73592, acc = 0.73762 -> best
[ Valid | 079/300 ] loss = 0.73228, acc = 0.74100 -> best
[ Valid | 080/300 ] loss = 0.73694, acc = 0.74038
[ Valid | 081/300 ] loss = 1.08166, acc = 0.63471
[ Valid | 082/300 ] loss = 1.11703, acc = 0.63273
[ Valid | 083/300 ] loss = 1.10026, acc = 0.65352
[ Valid | 084/300 ] loss = 0.98360, acc = 0.67086
[ Valid | 085/300 ] loss = 1.08893, acc = 0.63420
[ Valid | 086/300 ] loss = 0.93855, acc = 0.67329
[ Valid | 087/300 ] loss = 1.03545, acc = 0.66786
[ Valid | 088/300 ] loss = 1.18195, acc = 0.63199
[ Valid | 089/300 ] loss = 0.92886, acc = 0.68977
[ Valid | 090/300 ] loss = 0.95441, acc = 0.68021
[ Valid | 091/300 ] loss = 0.88777, acc = 0.69643
[ Valid | 092/300 ] loss = 0.79540, acc = 0.71544
[ Valid | 093/300 ] loss = 0.77284, acc = 0.72107
[ Valid | 094/300 ] loss = 0.79198, acc = 0.71749
[ Valid | 095/300 ] loss = 0.73353, acc = 0.73370
[ Valid | 096/300 ] loss = 0.72315, acc = 0.73312
[ Valid | 097/300 ] loss = 0.72294, acc = 0.73735
[ Valid | 098/300 ] loss = 0.71880, acc = 0.74305 -> best
[ Valid | 099/300 ] loss = 0.71897, acc = 0.74069
[ Valid | 100/300 ] loss = 0.71405, acc = 0.74121
[ Valid | 101/300 ] loss = 1.06395, acc = 0.64659
[ Valid | 102/300 ] loss = 1.08538, acc = 0.65842
[ Valid | 103/300 ] loss = 1.10976, acc = 0.63269
[ Valid | 104/300 ] loss = 1.07210, acc = 0.64694
[ Valid | 105/300 ] loss = 0.94880, acc = 0.67869
[ Valid | 106/300 ] loss = 0.98797, acc = 0.68190
[ Valid | 107/300 ] loss = 1.25645, acc = 0.60978
[ Valid | 108/300 ] loss = 0.91415, acc = 0.69407
[ Valid | 109/300 ] loss = 0.75558, acc = 0.72924
[ Valid | 110/300 ] loss = 0.82757, acc = 0.72539
[ Valid | 111/300 ] loss = 0.85974, acc = 0.70277
[ Valid | 112/300 ] loss = 0.85594, acc = 0.71188
[ Valid | 113/300 ] loss = 0.75747, acc = 0.74369 -> best
[ Valid | 114/300 ] loss = 0.72707, acc = 0.75116 -> best
[ Valid | 115/300 ] loss = 0.70658, acc = 0.75777 -> best
[ Valid | 116/300 ] loss = 0.71838, acc = 0.75454
[ Valid | 117/300 ] loss = 0.70283, acc = 0.75900 -> best
[ Valid | 118/300 ] loss = 0.70797, acc = 0.76021 -> best
[ Valid | 119/300 ] loss = 0.71681, acc = 0.75661
[ Valid | 120/300 ] loss = 0.71180, acc = 0.76089 -> best
[ Valid | 121/300 ] loss = 1.77831, acc = 0.53698
[ Valid | 122/300 ] loss = 1.08834, acc = 0.65378
[ Valid | 123/300 ] loss = 1.21471, acc = 0.63597
[ Valid | 124/300 ] loss = 1.06035, acc = 0.66004
[ Valid | 125/300 ] loss = 0.96931, acc = 0.68023
[ Valid | 126/300 ] loss = 0.84796, acc = 0.70609
[ Valid | 127/300 ] loss = 0.94034, acc = 0.69379
[ Valid | 128/300 ] loss = 0.80424, acc = 0.73161
[ Valid | 129/300 ] loss = 0.78907, acc = 0.73220
[ Valid | 130/300 ] loss = 0.93531, acc = 0.69946
[ Valid | 131/300 ] loss = 0.84015, acc = 0.73104
[ Valid | 132/300 ] loss = 0.78415, acc = 0.74013
[ Valid | 133/300 ] loss = 0.80774, acc = 0.73553
[ Valid | 134/300 ] loss = 0.76453, acc = 0.75389
[ Valid | 135/300 ] loss = 0.73385, acc = 0.75128
[ Valid | 136/300 ] loss = 0.72044, acc = 0.76321 -> best
[ Valid | 137/300 ] loss = 0.72360, acc = 0.76112
[ Valid | 138/300 ] loss = 0.71039, acc = 0.76204
[ Valid | 139/300 ] loss = 0.71411, acc = 0.76024
[ Valid | 140/300 ] loss = 0.71297, acc = 0.76328 -> best
[ Valid | 141/300 ] loss = 1.39685, acc = 0.59840
[ Valid | 142/300 ] loss = 1.07384, acc = 0.68222
[ Valid | 143/300 ] loss = 1.03647, acc = 0.69282
[ Valid | 144/300 ] loss = 0.93491, acc = 0.71391
[ Valid | 145/300 ] loss = 0.86201, acc = 0.72078
[ Valid | 146/300 ] loss = 0.96539, acc = 0.68594
[ Valid | 147/300 ] loss = 0.83212, acc = 0.73406
[ Valid | 148/300 ] loss = 0.99433, acc = 0.69064
[ Valid | 149/300 ] loss = 0.88227, acc = 0.71929
[ Valid | 150/300 ] loss = 0.80845, acc = 0.74014
[ Valid | 151/300 ] loss = 0.76977, acc = 0.75119
[ Valid | 152/300 ] loss = 0.75528, acc = 0.75297
[ Valid | 153/300 ] loss = 0.76961, acc = 0.76026
[ Valid | 154/300 ] loss = 0.75145, acc = 0.76232
[ Valid | 155/300 ] loss = 0.75223, acc = 0.76208
[ Valid | 156/300 ] loss = 0.73598, acc = 0.76285
[ Valid | 157/300 ] loss = 0.72562, acc = 0.77019 -> best
[ Valid | 158/300 ] loss = 0.72233, acc = 0.77286 -> best
[ Valid | 159/300 ] loss = 0.72834, acc = 0.77520 -> best
[ Valid | 160/300 ] loss = 0.72771, acc = 0.77344
[ Valid | 161/300 ] loss = 1.19988, acc = 0.66430
[ Valid | 162/300 ] loss = 1.02307, acc = 0.67988
[ Valid | 163/300 ] loss = 0.93559, acc = 0.71868
[ Valid | 164/300 ] loss = 0.86390, acc = 0.72658
[ Valid | 165/300 ] loss = 0.98799, acc = 0.69404
[ Valid | 166/300 ] loss = 0.89858, acc = 0.72840
[ Valid | 167/300 ] loss = 0.81526, acc = 0.74604
[ Valid | 168/300 ] loss = 0.93698, acc = 0.71821
[ Valid | 169/300 ] loss = 0.85578, acc = 0.73394
[ Valid | 170/300 ] loss = 0.83942, acc = 0.74971
[ Valid | 171/300 ] loss = 0.82169, acc = 0.74516
