[ Valid | 022/300 ] loss = 1.61213, acc = 0.47931
[ Valid | 023/300 ] loss = 1.67057, acc = 0.47373
[ Valid | 024/300 ] loss = 1.79482, acc = 0.44314
[ Valid | 025/300 ] loss = 1.33073, acc = 0.55470
[ Valid | 026/300 ] loss = 1.40697, acc = 0.53427
[ Valid | 027/300 ] loss = 1.41796, acc = 0.54067
[ Valid | 028/300 ] loss = 1.25603, acc = 0.57280
[ Valid | 029/300 ] loss = 1.11612, acc = 0.60240
[ Valid | 030/300 ] loss = 1.21950, acc = 0.59082
[ Valid | 031/300 ] loss = 1.07326, acc = 0.62866 -> best
[ Valid | 032/300 ] loss = 1.07469, acc = 0.62059
[ Valid | 033/300 ] loss = 0.94900, acc = 0.66336 -> best
[ Valid | 034/300 ] loss = 0.98207, acc = 0.64886
[ Valid | 035/300 ] loss = 0.95710, acc = 0.66446 -> best
[ Valid | 036/300 ] loss = 0.90623, acc = 0.67479 -> best
[ Valid | 037/300 ] loss = 0.88290, acc = 0.68324 -> best
[ Valid | 038/300 ] loss = 0.87139, acc = 0.68868 -> best
[ Valid | 039/300 ] loss = 0.86066, acc = 0.68928 -> best
[ Valid | 040/300 ] loss = 0.86679, acc = 0.68675
[ Valid | 041/300 ] loss = 1.18529, acc = 0.59327
[ Valid | 042/300 ] loss = 1.49679, acc = 0.51201
[ Valid | 043/300 ] loss = 1.25550, acc = 0.58873
[ Valid | 044/300 ] loss = 1.36158, acc = 0.58383
[ Valid | 045/300 ] loss = 1.21684, acc = 0.60772
[ Valid | 046/300 ] loss = 1.31202, acc = 0.57303
[ Valid | 047/300 ] loss = 1.80055, acc = 0.48740
[ Valid | 048/300 ] loss = 0.95278, acc = 0.66702
[ Valid | 049/300 ] loss = 0.97751, acc = 0.65978
[ Valid | 050/300 ] loss = 1.03623, acc = 0.63901
[ Valid | 051/300 ] loss = 1.03270, acc = 0.64895
[ Valid | 052/300 ] loss = 0.87084, acc = 0.68892
[ Valid | 053/300 ] loss = 0.87491, acc = 0.68824
[ Valid | 054/300 ] loss = 0.84894, acc = 0.69945 -> best
[ Valid | 055/300 ] loss = 0.84776, acc = 0.70033 -> best
[ Valid | 056/300 ] loss = 0.80409, acc = 0.71264 -> best
[ Valid | 057/300 ] loss = 0.78605, acc = 0.71180
[ Valid | 058/300 ] loss = 0.79065, acc = 0.71687 -> best
[ Valid | 059/300 ] loss = 0.77947, acc = 0.72049 -> best
[ Valid | 060/300 ] loss = 0.78536, acc = 0.72057 -> best
[ Valid | 061/300 ] loss = 1.49010, acc = 0.55123
[ Valid | 062/300 ] loss = 1.47191, acc = 0.56768
[ Valid | 063/300 ] loss = 1.17303, acc = 0.61845
[ Valid | 064/300 ] loss = 0.97531, acc = 0.66005
[ Valid | 065/300 ] loss = 1.08526, acc = 0.64176
[ Valid | 066/300 ] loss = 1.08225, acc = 0.63749
[ Valid | 067/300 ] loss = 1.06027, acc = 0.65610
[ Valid | 068/300 ] loss = 1.04236, acc = 0.65345
[ Valid | 069/300 ] loss = 1.02669, acc = 0.65881
[ Valid | 070/300 ] loss = 0.89038, acc = 0.68525
[ Valid | 071/300 ] loss = 0.89046, acc = 0.68505
[ Valid | 072/300 ] loss = 0.78924, acc = 0.72322 -> best
[ Valid | 073/300 ] loss = 0.77398, acc = 0.72292
[ Valid | 074/300 ] loss = 0.88816, acc = 0.69581
[ Valid | 075/300 ] loss = 0.78000, acc = 0.72627 -> best
[ Valid | 076/300 ] loss = 0.75756, acc = 0.73672 -> best
[ Valid | 077/300 ] loss = 0.75882, acc = 0.73530
[ Valid | 078/300 ] loss = 0.75294, acc = 0.73525
[ Valid | 079/300 ] loss = 0.74585, acc = 0.73855 -> best
[ Valid | 080/300 ] loss = 0.74166, acc = 0.73535
[ Valid | 081/300 ] loss = 1.20231, acc = 0.62452
[ Valid | 082/300 ] loss = 1.02367, acc = 0.65463
[ Valid | 083/300 ] loss = 1.43099, acc = 0.58195
[ Valid | 084/300 ] loss = 0.86665, acc = 0.68351
[ Valid | 085/300 ] loss = 0.94814, acc = 0.65340
[ Valid | 086/300 ] loss = 0.99562, acc = 0.66913
[ Valid | 087/300 ] loss = 0.95964, acc = 0.67299
[ Valid | 088/300 ] loss = 0.89454, acc = 0.70160
[ Valid | 089/300 ] loss = 0.86299, acc = 0.70371
[ Valid | 090/300 ] loss = 1.21170, acc = 0.61525
[ Valid | 091/300 ] loss = 0.88626, acc = 0.70003
[ Valid | 092/300 ] loss = 0.81192, acc = 0.73079
[ Valid | 093/300 ] loss = 0.79622, acc = 0.72679
[ Valid | 094/300 ] loss = 0.75828, acc = 0.73799
[ Valid | 095/300 ] loss = 0.73743, acc = 0.74221 -> best
[ Valid | 096/300 ] loss = 0.78415, acc = 0.73558
[ Valid | 097/300 ] loss = 0.73143, acc = 0.74369 -> best
[ Valid | 098/300 ] loss = 0.74611, acc = 0.74490 -> best
[ Valid | 099/300 ] loss = 0.74485, acc = 0.74132
[ Valid | 100/300 ] loss = 0.73626, acc = 0.74366
[ Valid | 101/300 ] loss = 1.30566, acc = 0.61459
[ Valid | 102/300 ] loss = 0.89015, acc = 0.69523
[ Valid | 103/300 ] loss = 1.28089, acc = 0.59420
[ Valid | 104/300 ] loss = 1.00497, acc = 0.68083
[ Valid | 105/300 ] loss = 1.17215, acc = 0.65194
[ Valid | 106/300 ] loss = 0.90800, acc = 0.70184
[ Valid | 107/300 ] loss = 1.02773, acc = 0.67831
[ Valid | 108/300 ] loss = 1.28742, acc = 0.63203
[ Valid | 109/300 ] loss = 0.89386, acc = 0.71056
[ Valid | 110/300 ] loss = 0.85816, acc = 0.71873
[ Valid | 111/300 ] loss = 0.96101, acc = 0.69591
[ Valid | 112/300 ] loss = 0.83081, acc = 0.72986
[ Valid | 113/300 ] loss = 0.77006, acc = 0.74404
[ Valid | 114/300 ] loss = 0.75995, acc = 0.74978 -> best
[ Valid | 115/300 ] loss = 0.79919, acc = 0.74428
[ Valid | 116/300 ] loss = 0.75570, acc = 0.75059 -> best
[ Valid | 117/300 ] loss = 0.74895, acc = 0.75574 -> best
[ Valid | 118/300 ] loss = 0.75630, acc = 0.75805 -> best
[ Valid | 119/300 ] loss = 0.73693, acc = 0.76026 -> best
[ Valid | 120/300 ] loss = 0.74151, acc = 0.75968
[ Valid | 121/300 ] loss = 1.57995, acc = 0.57010
[ Valid | 122/300 ] loss = 1.06238, acc = 0.67785
[ Valid | 123/300 ] loss = 1.03634, acc = 0.69073
[ Valid | 124/300 ] loss = 1.01524, acc = 0.66902
[ Valid | 125/300 ] loss = 1.10638, acc = 0.69139
[ Valid | 126/300 ] loss = 0.84827, acc = 0.71960
[ Valid | 127/300 ] loss = 1.07767, acc = 0.67684
[ Valid | 128/300 ] loss = 0.92381, acc = 0.69519
[ Valid | 129/300 ] loss = 0.91372, acc = 0.72049
[ Valid | 130/300 ] loss = 0.81517, acc = 0.73787
[ Valid | 131/300 ] loss = 0.81013, acc = 0.74524
[ Valid | 132/300 ] loss = 0.84184, acc = 0.74000
[ Valid | 133/300 ] loss = 0.86950, acc = 0.74401
[ Valid | 134/300 ] loss = 0.78528, acc = 0.74934
[ Valid | 135/300 ] loss = 0.78773, acc = 0.74640
[ Valid | 136/300 ] loss = 0.76664, acc = 0.76170 -> best
[ Valid | 137/300 ] loss = 0.74698, acc = 0.75721
[ Valid | 138/300 ] loss = 0.75621, acc = 0.76209 -> best
[ Valid | 139/300 ] loss = 0.74765, acc = 0.76205
[ Valid | 140/300 ] loss = 0.74959, acc = 0.76351 -> best
[ Valid | 141/300 ] loss = 1.57400, acc = 0.58925
[ Valid | 142/300 ] loss = 1.03279, acc = 0.67868
[ Valid | 143/300 ] loss = 0.98711, acc = 0.69607
[ Valid | 144/300 ] loss = 1.09850, acc = 0.66912
[ Valid | 145/300 ] loss = 0.91981, acc = 0.70431
[ Valid | 146/300 ] loss = 0.96784, acc = 0.71421
[ Valid | 147/300 ] loss = 0.91549, acc = 0.72116
[ Valid | 148/300 ] loss = 1.03158, acc = 0.69430
[ Valid | 149/300 ] loss = 0.86225, acc = 0.73428
[ Valid | 150/300 ] loss = 0.86321, acc = 0.73675
[ Valid | 151/300 ] loss = 0.80100, acc = 0.75609
[ Valid | 152/300 ] loss = 0.83896, acc = 0.74874
[ Valid | 153/300 ] loss = 0.76789, acc = 0.75749
[ Valid | 154/300 ] loss = 0.80687, acc = 0.76178
[ Valid | 155/300 ] loss = 0.79205, acc = 0.75752
[ Valid | 156/300 ] loss = 0.76344, acc = 0.76535 -> best
[ Valid | 157/300 ] loss = 0.76867, acc = 0.76291
[ Valid | 158/300 ] loss = 0.76367, acc = 0.76320
[ Valid | 159/300 ] loss = 0.75943, acc = 0.76384
[ Valid | 160/300 ] loss = 0.76367, acc = 0.76506
[ Valid | 161/300 ] loss = 1.44496, acc = 0.62643
[ Valid | 162/300 ] loss = 1.02020, acc = 0.69283
[ Valid | 163/300 ] loss = 0.94210, acc = 0.71923
[ Valid | 164/300 ] loss = 0.95318, acc = 0.70253
[ Valid | 165/300 ] loss = 1.07271, acc = 0.69205
[ Valid | 166/300 ] loss = 0.91705, acc = 0.71579
[ Valid | 167/300 ] loss = 0.94557, acc = 0.71840
[ Valid | 168/300 ] loss = 0.98322, acc = 0.70852
[ Valid | 169/300 ] loss = 0.94062, acc = 0.70957
[ Valid | 170/300 ] loss = 0.86022, acc = 0.74466
[ Valid | 171/300 ] loss = 0.81458, acc = 0.75238
[ Valid | 172/300 ] loss = 0.78601, acc = 0.76201
[ Valid | 173/300 ] loss = 0.80933, acc = 0.75458
[ Valid | 174/300 ] loss = 0.80089, acc = 0.76333
[ Valid | 175/300 ] loss = 0.80579, acc = 0.76621 -> best
[ Valid | 176/300 ] loss = 0.75592, acc = 0.76807 -> best
[ Valid | 177/300 ] loss = 0.74924, acc = 0.77554 -> best
[ Valid | 178/300 ] loss = 0.77941, acc = 0.77317
[ Valid | 179/300 ] loss = 0.77454, acc = 0.77528
[ Valid | 180/300 ] loss = 0.76146, acc = 0.77982 -> best
[ Valid | 181/300 ] loss = 1.15957, acc = 0.67747
[ Valid | 182/300 ] loss = 0.98572, acc = 0.70483
[ Valid | 183/300 ] loss = 1.14358, acc = 0.68649
[ Valid | 184/300 ] loss = 0.90705, acc = 0.72803
[ Valid | 185/300 ] loss = 1.11967, acc = 0.70546
[ Valid | 186/300 ] loss = 1.04508, acc = 0.70425
[ Valid | 187/300 ] loss = 0.91001, acc = 0.73378
[ Valid | 188/300 ] loss = 0.83075, acc = 0.75426
[ Valid | 189/300 ] loss = 0.83632, acc = 0.74424
[ Valid | 190/300 ] loss = 0.80443, acc = 0.76173
[ Valid | 191/300 ] loss = 0.94993, acc = 0.73082
[ Valid | 192/300 ] loss = 0.81339, acc = 0.76501
[ Valid | 193/300 ] loss = 0.82408, acc = 0.76900
[ Valid | 194/300 ] loss = 0.78922, acc = 0.76748
[ Valid | 195/300 ] loss = 0.77968, acc = 0.77105
[ Valid | 196/300 ] loss = 0.78085, acc = 0.77979
[ Valid | 197/300 ] loss = 0.77271, acc = 0.77494
[ Valid | 198/300 ] loss = 0.79010, acc = 0.77589
[ Valid | 199/300 ] loss = 0.77520, acc = 0.77920
[ Valid | 200/300 ] loss = 0.78248, acc = 0.77743
[ Valid | 201/300 ] loss = 1.19778, acc = 0.66184
