[ Valid | 099/300 ] loss = 0.68738, acc = 0.75776 -> best
[ Valid | 100/300 ] loss = 0.67865, acc = 0.75662
[ Valid | 101/300 ] loss = 1.20283, acc = 0.63485
[ Valid | 102/300 ] loss = 1.49968, acc = 0.58267
[ Valid | 103/300 ] loss = 0.92784, acc = 0.69253
[ Valid | 104/300 ] loss = 1.06607, acc = 0.65497
[ Valid | 105/300 ] loss = 0.97777, acc = 0.66573
[ Valid | 106/300 ] loss = 0.89719, acc = 0.70578
[ Valid | 107/300 ] loss = 0.82460, acc = 0.71453
[ Valid | 108/300 ] loss = 0.83863, acc = 0.71815
[ Valid | 109/300 ] loss = 1.04327, acc = 0.66303
[ Valid | 110/300 ] loss = 0.75757, acc = 0.74338
[ Valid | 111/300 ] loss = 0.74250, acc = 0.73320
[ Valid | 112/300 ] loss = 0.81547, acc = 0.72170
[ Valid | 113/300 ] loss = 0.71757, acc = 0.74791
[ Valid | 114/300 ] loss = 0.72113, acc = 0.74965
[ Valid | 115/300 ] loss = 0.69498, acc = 0.75603
[ Valid | 116/300 ] loss = 0.69597, acc = 0.76747 -> best
[ Valid | 117/300 ] loss = 0.69618, acc = 0.76017
[ Valid | 118/300 ] loss = 0.68073, acc = 0.76652
[ Valid | 119/300 ] loss = 0.67106, acc = 0.76802 -> best
[ Valid | 120/300 ] loss = 0.67769, acc = 0.76721
[ Valid | 121/300 ] loss = 0.94459, acc = 0.69405
[ Valid | 122/300 ] loss = 1.02976, acc = 0.67346
[ Valid | 123/300 ] loss = 1.23501, acc = 0.61814
[ Valid | 124/300 ] loss = 0.92222, acc = 0.68795
[ Valid | 125/300 ] loss = 1.32600, acc = 0.61638
[ Valid | 126/300 ] loss = 0.87221, acc = 0.71780
[ Valid | 127/300 ] loss = 0.82613, acc = 0.73293
[ Valid | 128/300 ] loss = 0.85593, acc = 0.71182
[ Valid | 129/300 ] loss = 0.86222, acc = 0.72055
[ Valid | 130/300 ] loss = 0.78611, acc = 0.73774
[ Valid | 131/300 ] loss = 0.82301, acc = 0.73012
[ Valid | 132/300 ] loss = 0.72339, acc = 0.74907
[ Valid | 133/300 ] loss = 0.76170, acc = 0.75090
[ Valid | 134/300 ] loss = 0.70042, acc = 0.76862 -> best
[ Valid | 135/300 ] loss = 0.71468, acc = 0.76172
[ Valid | 136/300 ] loss = 0.68501, acc = 0.77224 -> best
[ Valid | 137/300 ] loss = 0.69397, acc = 0.77046
[ Valid | 138/300 ] loss = 0.68565, acc = 0.76984
[ Valid | 139/300 ] loss = 0.68120, acc = 0.76844
[ Valid | 140/300 ] loss = 0.68339, acc = 0.77133
[ Valid | 141/300 ] loss = 1.15672, acc = 0.65550
[ Valid | 142/300 ] loss = 1.17462, acc = 0.66853
[ Valid | 143/300 ] loss = 1.03488, acc = 0.67570
[ Valid | 144/300 ] loss = 0.93766, acc = 0.69224
[ Valid | 145/300 ] loss = 1.31901, acc = 0.62632
[ Valid | 146/300 ] loss = 0.91012, acc = 0.71838
[ Valid | 147/300 ] loss = 0.79804, acc = 0.73105
[ Valid | 148/300 ] loss = 0.83331, acc = 0.72316
[ Valid | 149/300 ] loss = 0.77744, acc = 0.74463
[ Valid | 150/300 ] loss = 0.79774, acc = 0.74124
[ Valid | 151/300 ] loss = 0.76039, acc = 0.75535
[ Valid | 152/300 ] loss = 0.74544, acc = 0.75418
[ Valid | 153/300 ] loss = 0.73405, acc = 0.75931
[ Valid | 154/300 ] loss = 0.73238, acc = 0.76627
[ Valid | 155/300 ] loss = 0.69240, acc = 0.77112
[ Valid | 156/300 ] loss = 0.67976, acc = 0.77646 -> best
[ Valid | 157/300 ] loss = 0.68026, acc = 0.78396 -> best
[ Valid | 158/300 ] loss = 0.69263, acc = 0.77829
[ Valid | 159/300 ] loss = 0.68675, acc = 0.77946
[ Valid | 160/300 ] loss = 0.68210, acc = 0.78186
[ Valid | 161/300 ] loss = 1.79185, acc = 0.60194
[ Valid | 162/300 ] loss = 0.90304, acc = 0.72625
[ Valid | 163/300 ] loss = 1.00444, acc = 0.68926
[ Valid | 164/300 ] loss = 0.89390, acc = 0.71867
[ Valid | 165/300 ] loss = 1.03800, acc = 0.68744
[ Valid | 166/300 ] loss = 0.92795, acc = 0.71511
[ Valid | 167/300 ] loss = 1.07809, acc = 0.68714
[ Valid | 168/300 ] loss = 0.81822, acc = 0.74279
[ Valid | 169/300 ] loss = 0.81394, acc = 0.75145
[ Valid | 170/300 ] loss = 0.73771, acc = 0.76293
[ Valid | 171/300 ] loss = 0.73373, acc = 0.75964
[ Valid | 172/300 ] loss = 0.72740, acc = 0.76411
[ Valid | 173/300 ] loss = 0.75979, acc = 0.76421
[ Valid | 174/300 ] loss = 0.70894, acc = 0.77948
[ Valid | 175/300 ] loss = 0.70054, acc = 0.78377
[ Valid | 176/300 ] loss = 0.69885, acc = 0.78372
[ Valid | 177/300 ] loss = 0.69193, acc = 0.77957
[ Valid | 178/300 ] loss = 0.68687, acc = 0.78432 -> best
[ Valid | 179/300 ] loss = 0.69728, acc = 0.78245
[ Valid | 180/300 ] loss = 0.69044, acc = 0.78188
[ Valid | 181/300 ] loss = 1.19853, acc = 0.65742
[ Valid | 182/300 ] loss = 0.97905, acc = 0.68928
[ Valid | 183/300 ] loss = 0.84765, acc = 0.73404
[ Valid | 184/300 ] loss = 1.03114, acc = 0.69982
[ Valid | 185/300 ] loss = 0.98912, acc = 0.69459
[ Valid | 186/300 ] loss = 0.97820, acc = 0.72325
[ Valid | 187/300 ] loss = 0.85679, acc = 0.72414
[ Valid | 188/300 ] loss = 0.92788, acc = 0.72184
[ Valid | 189/300 ] loss = 0.79688, acc = 0.75062
[ Valid | 190/300 ] loss = 0.86403, acc = 0.74397
[ Valid | 191/300 ] loss = 0.76672, acc = 0.76023
[ Valid | 192/300 ] loss = 0.75996, acc = 0.77046
[ Valid | 193/300 ] loss = 0.73465, acc = 0.77288
[ Valid | 194/300 ] loss = 0.70324, acc = 0.77684
[ Valid | 195/300 ] loss = 0.71808, acc = 0.78157
[ Valid | 196/300 ] loss = 0.70517, acc = 0.78490 -> best
[ Valid | 197/300 ] loss = 0.70204, acc = 0.78517 -> best
[ Valid | 198/300 ] loss = 0.70287, acc = 0.78465
[ Valid | 199/300 ] loss = 0.70070, acc = 0.78428
[ Valid | 200/300 ] loss = 0.69174, acc = 0.78589 -> best
[ Valid | 201/300 ] loss = 1.10229, acc = 0.69492
[ Valid | 202/300 ] loss = 1.02730, acc = 0.70458
[ Valid | 203/300 ] loss = 0.91487, acc = 0.71750
[ Valid | 204/300 ] loss = 1.10627, acc = 0.68837
[ Valid | 205/300 ] loss = 0.85561, acc = 0.72862
[ Valid | 206/300 ] loss = 0.83375, acc = 0.74249
[ Valid | 207/300 ] loss = 0.84474, acc = 0.73680
[ Valid | 208/300 ] loss = 0.83530, acc = 0.74819
[ Valid | 209/300 ] loss = 0.76504, acc = 0.75843
[ Valid | 210/300 ] loss = 0.83707, acc = 0.74729
[ Valid | 211/300 ] loss = 0.78927, acc = 0.76683
[ Valid | 212/300 ] loss = 0.78839, acc = 0.76529
[ Valid | 213/300 ] loss = 0.75724, acc = 0.77465
[ Valid | 214/300 ] loss = 0.75040, acc = 0.77891
[ Valid | 215/300 ] loss = 0.72583, acc = 0.78045
[ Valid | 216/300 ] loss = 0.73827, acc = 0.78158
[ Valid | 217/300 ] loss = 0.72461, acc = 0.78397
[ Valid | 218/300 ] loss = 0.72485, acc = 0.78614 -> best
[ Valid | 219/300 ] loss = 0.72081, acc = 0.78518
[ Valid | 220/300 ] loss = 0.72390, acc = 0.78610
[ Valid | 221/300 ] loss = 1.06888, acc = 0.68505
[ Valid | 222/300 ] loss = 0.92903, acc = 0.72200
[ Valid | 223/300 ] loss = 1.21109, acc = 0.65471
[ Valid | 224/300 ] loss = 0.82911, acc = 0.74573
[ Valid | 225/300 ] loss = 0.95429, acc = 0.72075
[ Valid | 226/300 ] loss = 0.85653, acc = 0.74377
[ Valid | 227/300 ] loss = 0.81461, acc = 0.74516
[ Valid | 228/300 ] loss = 0.90512, acc = 0.74245
[ Valid | 229/300 ] loss = 0.88318, acc = 0.74076
[ Valid | 230/300 ] loss = 0.79165, acc = 0.76774
[ Valid | 231/300 ] loss = 0.78605, acc = 0.77285
[ Valid | 232/300 ] loss = 0.77882, acc = 0.77590
[ Valid | 233/300 ] loss = 0.77239, acc = 0.77701
[ Valid | 234/300 ] loss = 0.79872, acc = 0.78087
[ Valid | 235/300 ] loss = 0.75752, acc = 0.78095
[ Valid | 236/300 ] loss = 0.77068, acc = 0.78428
[ Valid | 237/300 ] loss = 0.74275, acc = 0.78484
[ Valid | 238/300 ] loss = 0.75324, acc = 0.78638 -> best
[ Valid | 239/300 ] loss = 0.74739, acc = 0.78559
[ Valid | 240/300 ] loss = 0.75256, acc = 0.78466
[ Valid | 241/300 ] loss = 1.26698, acc = 0.69371
[ Valid | 242/300 ] loss = 1.15749, acc = 0.68721
[ Valid | 243/300 ] loss = 1.00732, acc = 0.70671
[ Valid | 244/300 ] loss = 0.88387, acc = 0.73414
[ Valid | 245/300 ] loss = 0.85170, acc = 0.75092
[ Valid | 246/300 ] loss = 0.99766, acc = 0.73051
[ Valid | 247/300 ] loss = 0.80540, acc = 0.77319
[ Valid | 248/300 ] loss = 0.80759, acc = 0.76024
[ Valid | 249/300 ] loss = 0.88773, acc = 0.75157
[ Valid | 250/300 ] loss = 0.84446, acc = 0.76828
[ Valid | 251/300 ] loss = 0.81438, acc = 0.76983
[ Valid | 252/300 ] loss = 0.80303, acc = 0.78119
[ Valid | 253/300 ] loss = 0.78148, acc = 0.78130
[ Valid | 254/300 ] loss = 0.76835, acc = 0.78640 -> best
[ Valid | 255/300 ] loss = 0.76945, acc = 0.79147 -> best
[ Valid | 256/300 ] loss = 0.76706, acc = 0.79245 -> best
[ Valid | 257/300 ] loss = 0.75727, acc = 0.79421 -> best
[ Valid | 258/300 ] loss = 0.75682, acc = 0.79604 -> best
[ Valid | 259/300 ] loss = 0.76406, acc = 0.79337
[ Valid | 260/300 ] loss = 0.76292, acc = 0.79121
[ Valid | 261/300 ] loss = 1.56220, acc = 0.65678
[ Valid | 262/300 ] loss = 1.59007, acc = 0.65795
[ Valid | 263/300 ] loss = 0.99296, acc = 0.71451
[ Valid | 264/300 ] loss = 0.85901, acc = 0.75786
[ Valid | 265/300 ] loss = 0.85359, acc = 0.75088
[ Valid | 266/300 ] loss = 1.11589, acc = 0.71935
[ Valid | 267/300 ] loss = 0.85133, acc = 0.76020
[ Valid | 268/300 ] loss = 0.86745, acc = 0.74642
[ Valid | 269/300 ] loss = 0.81366, acc = 0.76808
[ Valid | 270/300 ] loss = 0.80068, acc = 0.77447
[ Valid | 271/300 ] loss = 0.79654, acc = 0.78030
[ Valid | 272/300 ] loss = 0.77316, acc = 0.78334
[ Valid | 273/300 ] loss = 0.75930, acc = 0.78272
[ Valid | 274/300 ] loss = 0.80817, acc = 0.78302
[ Valid | 275/300 ] loss = 0.79350, acc = 0.78368
[ Valid | 276/300 ] loss = 0.77398, acc = 0.78822
[ Valid | 277/300 ] loss = 0.77503, acc = 0.79358
[ Valid | 278/300 ] loss = 0.77750, acc = 0.79299
[ Valid | 279/300 ] loss = 0.77929, acc = 0.79153
[ Valid | 001/300 ] loss = 2.39259, acc = 0.29538 -> best
[ Valid | 002/300 ] loss = 2.23675, acc = 0.30382 -> best
[ Valid | 003/300 ] loss = 2.50121, acc = 0.29545
[ Valid | 004/300 ] loss = 2.13869, acc = 0.34027 -> best
[ Valid | 005/300 ] loss = 1.92974, acc = 0.41213 -> best
[ Valid | 006/300 ] loss = 2.18258, acc = 0.39010
[ Valid | 007/300 ] loss = 1.66652, acc = 0.45909 -> best
[ Valid | 008/300 ] loss = 2.11173, acc = 0.38083
[ Valid | 009/300 ] loss = 1.55943, acc = 0.48203 -> best
[ Valid | 010/300 ] loss = 1.75896, acc = 0.44552
[ Valid | 011/300 ] loss = 1.40603, acc = 0.53070 -> best
[ Valid | 012/300 ] loss = 1.76927, acc = 0.44848
[ Valid | 013/300 ] loss = 1.36254, acc = 0.53300 -> best
[ Valid | 014/300 ] loss = 1.20796, acc = 0.57879 -> best
[ Valid | 015/300 ] loss = 1.27398, acc = 0.56235
[ Valid | 016/300 ] loss = 1.19213, acc = 0.58940 -> best
[ Valid | 017/300 ] loss = 1.09803, acc = 0.61246 -> best
[ Valid | 018/300 ] loss = 1.06629, acc = 0.61485 -> best
[ Valid | 019/300 ] loss = 1.05595, acc = 0.62246 -> best
[ Valid | 020/300 ] loss = 1.05353, acc = 0.61886
[ Valid | 021/300 ] loss = 1.53592, acc = 0.48667
[ Valid | 022/300 ] loss = 1.53974, acc = 0.50871
[ Valid | 023/300 ] loss = 1.42679, acc = 0.51834
[ Valid | 024/300 ] loss = 1.63288, acc = 0.48187
[ Valid | 025/300 ] loss = 1.34269, acc = 0.56167
[ Valid | 026/300 ] loss = 1.37996, acc = 0.53978
[ Valid | 027/300 ] loss = 1.77121, acc = 0.46184
