[ Valid | 001/300 ] loss = 2.38566, acc = 0.25691 -> best
[ Valid | 002/300 ] loss = 2.60868, acc = 0.24127
[ Valid | 003/300 ] loss = 2.11513, acc = 0.32803 -> best
[ Valid | 004/300 ] loss = 2.39258, acc = 0.28470
[ Valid | 005/300 ] loss = 1.91937, acc = 0.38478 -> best
[ Valid | 006/300 ] loss = 1.83662, acc = 0.41065 -> best
[ Valid | 007/300 ] loss = 1.94289, acc = 0.38662
[ Valid | 008/300 ] loss = 1.89967, acc = 0.43116 -> best
[ Valid | 009/300 ] loss = 1.72103, acc = 0.45005 -> best
[ Valid | 010/300 ] loss = 1.52863, acc = 0.49182 -> best
[ Valid | 011/300 ] loss = 1.34520, acc = 0.54451 -> best
[ Valid | 012/300 ] loss = 1.41646, acc = 0.50843
[ Valid | 013/300 ] loss = 1.37541, acc = 0.53076
[ Valid | 014/300 ] loss = 1.27716, acc = 0.56410 -> best
[ Valid | 015/300 ] loss = 1.26545, acc = 0.55412
[ Valid | 016/300 ] loss = 1.14779, acc = 0.59865 -> best
[ Valid | 017/300 ] loss = 1.17623, acc = 0.59180
[ Valid | 018/300 ] loss = 1.08347, acc = 0.62092 -> best
[ Valid | 019/300 ] loss = 1.08040, acc = 0.62092
[ Valid | 020/300 ] loss = 1.06699, acc = 0.62896 -> best
[ Valid | 021/300 ] loss = 1.93833, acc = 0.40827
[ Valid | 022/300 ] loss = 1.63652, acc = 0.48553
[ Valid | 023/300 ] loss = 1.97496, acc = 0.39864
[ Valid | 024/300 ] loss = 1.64229, acc = 0.46961
[ Valid | 025/300 ] loss = 1.61436, acc = 0.50214
[ Valid | 026/300 ] loss = 1.99765, acc = 0.43735
[ Valid | 027/300 ] loss = 1.30474, acc = 0.53612
[ Valid | 028/300 ] loss = 1.26193, acc = 0.57578
[ Valid | 029/300 ] loss = 1.19142, acc = 0.59593
[ Valid | 030/300 ] loss = 1.29065, acc = 0.56104
[ Valid | 031/300 ] loss = 1.05238, acc = 0.61810
[ Valid | 032/300 ] loss = 1.01568, acc = 0.63209 -> best
[ Valid | 033/300 ] loss = 1.09967, acc = 0.60951
[ Valid | 034/300 ] loss = 0.93938, acc = 0.65288 -> best
[ Valid | 035/300 ] loss = 0.96217, acc = 0.64861
[ Valid | 036/300 ] loss = 0.89710, acc = 0.66390 -> best
[ Valid | 037/300 ] loss = 0.86580, acc = 0.67418 -> best
[ Valid | 038/300 ] loss = 0.86443, acc = 0.67745 -> best
[ Valid | 039/300 ] loss = 0.85221, acc = 0.68383 -> best
[ Valid | 040/300 ] loss = 0.84625, acc = 0.68121
[ Valid | 041/300 ] loss = 1.45925, acc = 0.50395
[ Valid | 042/300 ] loss = 1.29521, acc = 0.56527
[ Valid | 043/300 ] loss = 1.28709, acc = 0.56405
[ Valid | 044/300 ] loss = 1.19959, acc = 0.59239
[ Valid | 045/300 ] loss = 1.37205, acc = 0.53497
[ Valid | 046/300 ] loss = 1.09100, acc = 0.61075
[ Valid | 047/300 ] loss = 1.02555, acc = 0.63808
[ Valid | 048/300 ] loss = 1.00277, acc = 0.63721
[ Valid | 049/300 ] loss = 1.01767, acc = 0.63355
[ Valid | 050/300 ] loss = 0.97246, acc = 0.65400
[ Valid | 051/300 ] loss = 1.17217, acc = 0.61151
[ Valid | 052/300 ] loss = 0.89703, acc = 0.67440
[ Valid | 053/300 ] loss = 0.92223, acc = 0.65944
[ Valid | 054/300 ] loss = 0.83656, acc = 0.68439 -> best
[ Valid | 055/300 ] loss = 0.80929, acc = 0.69650 -> best
[ Valid | 056/300 ] loss = 0.77513, acc = 0.70782 -> best
[ Valid | 057/300 ] loss = 0.76813, acc = 0.71028 -> best
[ Valid | 058/300 ] loss = 0.75434, acc = 0.70848
[ Valid | 059/300 ] loss = 0.74757, acc = 0.71389 -> best
[ Valid | 060/300 ] loss = 0.75071, acc = 0.71210
[ Valid | 061/300 ] loss = 2.13954, acc = 0.45039
[ Valid | 062/300 ] loss = 1.17643, acc = 0.61341
[ Valid | 063/300 ] loss = 0.94226, acc = 0.65826
[ Valid | 064/300 ] loss = 1.06668, acc = 0.63112
[ Valid | 065/300 ] loss = 1.07144, acc = 0.62131
[ Valid | 066/300 ] loss = 0.96961, acc = 0.65978
[ Valid | 067/300 ] loss = 1.21434, acc = 0.59835
[ Valid | 068/300 ] loss = 1.02541, acc = 0.64560
[ Valid | 069/300 ] loss = 1.10505, acc = 0.62320
